user_id,song_id,rating
1,154,1
1,101,3
1,628,1
1,80,4
1,21,0
1,445,3
1,263,5
1,466,1
1,581,4
1,340,4
1,326,4
1,659,5
1,567,3
1,117,0
1,86,4
1,203,3
1,514,3
1,410,3
1,253,5
1,152,1
1,477,2
1,383,0
1,398,4
1,209,5
1,277,0
1,288,3
1,203,4
1,1,5
1,606,1
2,28,5
2,332,3
2,574,4
2,432,0
2,85,5
2,193,3
2,446,0
2,59,5
2,326,1
2,18,3
2,565,1
2,70,5
2,49,2
2,23,2
2,571,5
2,583,2
2,481,1
2,543,1
2,351,3
2,658,1
2,82,0
2,381,0
2,660,3
2,149,3
2,660,2
2,407,0
2,160,0
3,473,1
3,132,3
3,460,0
3,102,3
3,407,2
3,15,4
3,161,1
3,280,0
3,188,2
3,64,0
3,132,3
3,610,5
3,21,2
3,501,1
3,279,4
3,450,1
3,171,2
3,46,3
3,392,1
3,86,5
3,120,0
3,559,5
4,522,2
4,160,2
4,193,4
4,557,1
4,478,0
4,178,2
4,123,1
4,629,0
4,19,0
4,594,1
4,293,1
4,365,4
4,219,4
4,325,5
4,191,5
4,459,2
4,348,4
4,446,4
4,104,1
4,272,3
4,606,5
4,277,5
4,371,4
4,65,0
4,86,1
4,523,3
4,233,1
4,385,5
4,153,2
4,425,1
5,229,1
5,78,0
5,13,5
5,445,1
5,490,2
5,55,1
5,353,3
5,263,5
5,402,1
5,352,1
5,613,0
5,543,0
5,206,1
5,500,0
5,438,3
5,413,4
5,465,2
5,256,0
5,599,0
5,371,0
5,121,1
5,96,3
5,599,5
5,248,3
5,565,2
5,285,1
5,564,1
5,105,1
5,291,2
5,403,3
5,64,0
5,309,3
6,147,4
6,21,4
6,588,5
6,273,0
6,641,2
6,57,1
6,1,2
6,134,3
6,536,0
6,517,1
6,3,4
6,12,1
6,223,3
6,295,5
6,187,3
6,344,4
6,447,4
6,206,4
6,625,4
6,603,3
6,59,1
6,295,2
6,360,3
6,270,4
6,490,4
6,185,0
6,646,0
6,140,4
6,138,3
6,487,5
6,360,1
7,238,5
7,449,4
7,145,4
7,569,0
7,387,3
7,223,4
7,424,2
7,75,1
7,429,0
7,437,4
7,591,5
7,62,5
7,644,3
7,461,0
7,164,1
7,517,3
7,390,0
7,494,3
7,215,5
7,483,3
7,131,1
7,549,0
7,115,4
7,135,2
7,435,1
7,517,0
7,534,4
7,269,0
7,149,4
7,33,5
7,501,1
7,625,3
7,165,5
8,126,1
8,518,0
8,572,0
8,410,2
8,189,3
8,482,5
8,195,5
8,340,4
8,238,0
8,350,0
8,63,5
8,310,2
8,555,1
8,112,5
8,466,3
8,546,0
8,491,3
8,415,5
8,1,2
8,231,0
8,538,2
8,157,2
8,35,5
8,434,4
8,598,1
8,400,2
8,214,4
8,594,2
8,514,3
8,527,5
8,162,3
8,406,4
8,513,3
8,17,1
8,620,3
8,7,1
9,43,5
9,575,1
9,125,0
9,652,5
9,550,1
9,547,1
9,119,0
9,480,4
9,568,5
9,26,4
9,101,3
9,296,5
9,495,3
9,39,1
9,651,2
9,91,0
9,605,0
9,12,2
9,147,0
9,53,2
9,160,3
9,527,0
9,132,1
9,389,0
9,514,4
9,275,4
9,524,0
9,654,1
9,502,2
9,580,5
9,274,5
9,182,1
9,501,0
9,520,4
9,311,4
9,81,4
9,556,4
10,274,0
10,357,1
10,351,3
10,187,3
10,612,3
10,88,1
10,412,2
10,33,3
10,603,0
10,180,1
10,594,4
10,302,1
10,66,1
10,296,0
10,492,0
10,296,3
10,344,2
10,421,1
10,256,1
10,401,5
10,469,1
10,567,5
10,561,2
10,219,2
11,130,5
11,410,3
11,232,3
11,515,2
11,527,2
11,491,1
11,100,5
11,619,1
11,299,5
11,287,4
11,162,4
11,506,0
11,326,4
11,531,3
11,457,3
11,478,1
11,199,3
11,187,5
11,309,1
11,64,5
11,137,2
11,57,2
11,243,4
11,13,4
12,373,1
12,270,3
12,607,1
12,571,3
12,579,5
12,193,2
12,482,5
12,428,3
12,524,5
12,588,1
12,2,4
12,275,2
12,282,0
12,404,0
12,2,0
12,443,4
12,46,4
12,196,3
12,473,1
12,627,4
12,586,3
12,483,4
12,159,2
12,596,3
12,29,0
12,382,4
12,337,4
12,148,3
12,293,4
13,86,1
13,350,2
13,505,0
13,113,5
13,23,3
13,552,1
13,283,1
13,285,0
13,40,0
13,635,3
13,44,5
13,135,1
13,182,1
13,99,3
13,198,2
13,14,3
13,521,2
13,151,0
13,601,3
13,277,5
13,515,5
13,297,4
13,39,1
13,549,2
13,299,4
13,632,4
13,35,0
13,542,0
13,477,5
13,377,2
13,602,5
13,389,2
13,113,1
13,243,1
14,21,1
14,528,1
14,221,1
14,390,2
14,119,0
14,104,1
14,483,3
14,104,0
14,36,2
14,59,1
14,379,1
14,498,0
14,268,2
14,587,2
14,439,1
14,179,5
14,219,4
14,65,3
14,576,2
14,464,3
14,479,5
14,30,0
14,614,5
14,76,2
14,367,1
14,79,4
14,216,1
14,192,2
14,320,0
14,257,0
14,257,0
14,499,3
14,218,4
14,215,5
15,271,0
15,119,3
15,612,1
15,394,2
15,649,4
15,218,4
15,213,2
15,442,3
15,170,4
15,315,4
15,311,4
15,633,4
15,581,1
15,145,3
